Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.17814669999415855
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 188 | Reward: 96.12 | Avg: 105.16 | Epsilon: 0.828 | Steps: 83
Episode 189 | Reward: 101.98 | Avg: 105.23 | Epsilon: 0.827 | Steps: 505
Episode 190 | Reward: 105.13 | Avg: 105.24 | Epsilon: 0.826 | Steps: 405
Episode 191 | Reward: 96.79 | Avg: 104.81 | Epsilon: 0.825 | Steps: 122
Episode 192 | Reward: 103.30 | Avg: 104.51 | Epsilon: 0.824 | Steps: 329
Episode 193 | Reward: 98.44 | Avg: 104.32 | Epsilon: 0.824 | Steps: 292
Episode 194 | Reward: 107.67 | Avg: 104.47 | Epsilon: 0.823 | Steps: 504
Episode 195 | Reward: 95.97 | Avg: 104.40 | Epsilon: 0.822 | Steps: 81
Episode 196 | Reward: 96.93 | Avg: 104.11 | Epsilon: 0.821 | Steps: 151
Episode 197 | Reward: 96.44 | Avg: 103.83 | Epsilon: 0.820 | Steps: 90
Episode 198 | Reward: 100.60 | Avg: 103.83 | Epsilon: 0.819 | Steps: 253
Episode 199 | Reward: 111.88 | Avg: 104.06 | Epsilon: 0.819 | Steps: 491
Episode 200 | Reward: 101.21 | Avg: 103.92 | Epsilon: 0.818 | Steps: 293
Episode 201 | Reward: 103.94 | Avg: 103.87 | Epsilon: 0.817 | Steps: 312
Episode 202 | Reward: 101.77 | Avg: 103.80 | Epsilon: 0.816 | Steps: 459
Episode 203 | Reward: 106.73 | Avg: 103.86 | Epsilon: 0.815 | Steps: 510
Episode 204 | Reward: 96.42 | Avg: 103.70 | Epsilon: 0.815 | Steps: 104
Episode 205 | Reward: 106.02 | Avg: 103.61 | Epsilon: 0.814 | Steps: 364
Episode 206 | Reward: 105.93 | Avg: 103.71 | Epsilon: 0.813 | Steps: 326
Episode 207 | Reward: 102.61 | Avg: 103.26 | Epsilon: 0.812 | Steps: 410
Episode 208 | Reward: 100.06 | Avg: 103.12 | Epsilon: 0.811 | Steps: 313
Episode 209 | Reward: 107.73 | Avg: 102.98 | Epsilon: 0.810 | Steps: 533
Episode 210 | Reward: 103.32 | Avg: 103.11 | Epsilon: 0.810 | Steps: 216
Episode 211 | Reward: 101.46 | Avg: 102.98 | Epsilon: 0.809 | Steps: 403
Episode 212 | Reward: 99.74 | Avg: 102.96 | Epsilon: 0.808 | Steps: 166
Episode 213 | Reward: 107.62 | Avg: 102.99 | Epsilon: 0.807 | Steps: 570
Episode 214 | Reward: 103.81 | Avg: 102.99 | Epsilon: 0.806 | Steps: 203
Episode 215 | Reward: 120.45 | Avg: 103.48 | Epsilon: 0.806 | Steps: 684
Episode 216 | Reward: 104.42 | Avg: 103.61 | Epsilon: 0.805 | Steps: 421
Episode 217 | Reward: 102.18 | Avg: 103.29 | Epsilon: 0.804 | Steps: 342
Episode 218 | Reward: 100.83 | Avg: 103.39 | Epsilon: 0.803 | Steps: 204
Episode 219 | Reward: 113.59 | Avg: 103.45 | Epsilon: 0.802 | Steps: 824
Episode 220 | Reward: 109.98 | Avg: 103.51 | Epsilon: 0.802 | Steps: 605
Episode 221 | Reward: 97.99 | Avg: 103.52 | Epsilon: 0.801 | Steps: 167
Episode 222 | Reward: 105.64 | Avg: 103.53 | Epsilon: 0.800 | Steps: 522
Episode 223 | Reward: 96.54 | Avg: 103.40 | Epsilon: 0.799 | Steps: 84
Episode 224 | Reward: 102.49 | Avg: 103.30 | Epsilon: 0.798 | Steps: 425
Episode 225 | Reward: 102.02 | Avg: 103.33 | Epsilon: 0.798 | Steps: 295
Episode 226 | Reward: 113.55 | Avg: 103.58 | Epsilon: 0.797 | Steps: 822
Episode 227 | Reward: 100.66 | Avg: 103.55 | Epsilon: 0.796 | Steps: 245
Episode 228 | Reward: 108.67 | Avg: 103.70 | Epsilon: 0.795 | Steps: 481
Episode 229 | Reward: 102.50 | Avg: 103.59 | Epsilon: 0.794 | Steps: 291
Episode 230 | Reward: 124.31 | Avg: 103.99 | Epsilon: 0.794 | Steps: 915
Episode 231 | Reward: 103.55 | Avg: 103.99 | Epsilon: 0.793 | Steps: 507
Episode 232 | Reward: 103.61 | Avg: 104.00 | Epsilon: 0.792 | Steps: 439
Episode 233 | Reward: 96.00 | Avg: 103.77 | Epsilon: 0.791 | Steps: 86
Episode 234 | Reward: 102.37 | Avg: 103.85 | Epsilon: 0.790 | Steps: 202
Episode 235 | Reward: 104.88 | Avg: 103.93 | Epsilon: 0.790 | Steps: 411
Episode 236 | Reward: 102.69 | Avg: 103.77 | Epsilon: 0.789 | Steps: 228
Episode 237 | Reward: 108.09 | Avg: 103.73 | Epsilon: 0.788 | Steps: 402
Episode 238 | Reward: 100.68 | Avg: 103.82 | Epsilon: 0.787 | Steps: 184
Episode 239 | Reward: 124.92 | Avg: 104.28 | Epsilon: 0.787 | Steps: 803
Episode 240 | Reward: 101.28 | Avg: 104.21 | Epsilon: 0.786 | Steps: 165
Episode 241 | Reward: 101.53 | Avg: 104.30 | Epsilon: 0.785 | Steps: 282
Episode 242 | Reward: 105.28 | Avg: 104.34 | Epsilon: 0.784 | Steps: 241
Episode 243 | Reward: 108.78 | Avg: 104.55 | Epsilon: 0.783 | Steps: 461
Episode 244 | Reward: 106.00 | Avg: 104.51 | Epsilon: 0.783 | Steps: 395
Episode 245 | Reward: 99.21 | Avg: 104.58 | Epsilon: 0.782 | Steps: 110
Episode 246 | Reward: 118.70 | Avg: 105.01 | Epsilon: 0.781 | Steps: 577
Episode 247 | Reward: 109.90 | Avg: 105.28 | Epsilon: 0.780 | Steps: 590
Episode 248 | Reward: 101.60 | Avg: 105.30 | Epsilon: 0.779 | Steps: 262
Episode 249 | Reward: 102.52 | Avg: 105.12 | Epsilon: 0.779 | Steps: 328
Episode 250 | Reward: 96.27 | Avg: 105.02 | Epsilon: 0.778 | Steps: 81
Episode 251 | Reward: 108.65 | Avg: 105.11 | Epsilon: 0.777 | Steps: 356
Episode 252 | Reward: 98.87 | Avg: 105.05 | Epsilon: 0.776 | Steps: 292
Episode 253 | Reward: 96.54 | Avg: 104.85 | Epsilon: 0.776 | Steps: 124
Episode 254 | Reward: 104.44 | Avg: 105.01 | Epsilon: 0.775 | Steps: 379
Episode 255 | Reward: 109.18 | Avg: 105.07 | Epsilon: 0.774 | Steps: 486
Episode 256 | Reward: 107.14 | Avg: 105.10 | Epsilon: 0.773 | Steps: 297
Episode 257 | Reward: 125.98 | Avg: 105.56 | Epsilon: 0.772 | Steps: 1099
Episode 258 | Reward: 99.52 | Avg: 105.55 | Epsilon: 0.772 | Steps: 238
Episode 259 | Reward: 96.80 | Avg: 105.33 | Epsilon: 0.771 | Steps: 138
Episode 260 | Reward: 96.72 | Avg: 105.20 | Epsilon: 0.770 | Steps: 141
Episode 261 | Reward: 97.04 | Avg: 105.11 | Epsilon: 0.769 | Steps: 119
Episode 262 | Reward: 96.37 | Avg: 105.05 | Epsilon: 0.769 | Steps: 137
Episode 263 | Reward: 96.98 | Avg: 104.83 | Epsilon: 0.768 | Steps: 182
Episode 264 | Reward: 100.70 | Avg: 104.77 | Epsilon: 0.767 | Steps: 254
Episode 265 | Reward: 103.73 | Avg: 104.44 | Epsilon: 0.766 | Steps: 406
Episode 266 | Reward: 96.14 | Avg: 104.27 | Epsilon: 0.766 | Steps: 98
